,Suburb_id,Suburb,Postcode,LGA,City,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
173,173,Darlington,2008,City of Sydney,Sydney,Café,Bar,Pub,Thai Restaurant,Bakery,Italian Restaurant,Ramen Restaurant,Bus Station,Event Space,Beer Garden
174,174,Davidson,2085,Northern Beaches Council,Sydney,Playground,Trail,,,,,,,,
175,175,Dawes Point,2000,City of Sydney,Sydney,Café,Pub,Australian Restaurant,Brewery,Hotel,Italian Restaurant,Japanese Restaurant,Park,Seafood Restaurant,Museum
176,176,Dean Park,2761,City of Blacktown,Sydney,Sandwich Place,Pet Store,Fast Food Restaurant,,,,,,,
177,177,Dee Why,2099,Northern Beaches Council,Sydney,Café,Pizza Place,Gym,General Entertainment,Asian Restaurant,Shopping Mall,Bus Station,Fast Food Restaurant,Botanical Garden,Jazz Club
178,178,Denham Court,2565,"City of Campbelltown , City of Liverpool ",Sydney,Gas Station,,,,,,,,,
179,179,Denistone,2114,City of Ryde,Sydney,Park,,,,,,,,,
180,180,Denistone East,2112,City of Ryde,Sydney,Deli / Bodega,Farmers Market,Liquor Store,Café,Burger Joint,Thai Restaurant,,,,
181,181,Denistone West,2114,City of Ryde,Sydney,Shoe Store,,,,,,,,,
182,182,Dharruk,2770,City of Blacktown,Sydney,Bar,Pharmacy,,,,,,,,
183,183,Dolans Bay,2229,Sutherland Shire,Sydney,Boat or Ferry,Sports Club,Home Service,,,,,,,
184,184,Dolls Point,2219,Bayside Council,Sydney,Café,Beach,Park,Indian Restaurant,Sports Bar,,,,,
185,185,Doonside,2767,City of Blacktown,Sydney,Platform,Train Station,BBQ Joint,Grocery Store,Bakery,,,,,
186,186,Double Bay,2028,Municipality of Woollahra,Sydney,Café,Japanese Restaurant,Restaurant,Supermarket,Thai Restaurant,Cocktail Bar,Bakery,Eastern European Restaurant,Train Station,Beach
187,187,Dover Heights,2030,Waverley Council,Sydney,Café,Park,Playground,,,,,,,
188,188,Drummoyne,2047,City of Canada Bay,Sydney,Café,Pub,Bakery,Gym / Fitness Center,Grocery Store,Liquor Store,Lebanese Restaurant,Sandwich Place,Vietnamese Restaurant,Market
189,189,Duffys Forest,2084,Northern Beaches Council,Sydney,Stadium,,,,,,,,,
190,190,Dulwich Hill,2203,Inner West Council,Sydney,Pub,Deli / Bodega,Bus Station,Mediterranean Restaurant,Bakery,Grocery Store,Liquor Store,Light Rail Station,Athletics & Sports,Café
191,191,Dundas,2117,City of Parramatta,Sydney,Train Station,Seafood Restaurant,Café,Pizza Place,,,,,,
192,192,Dundas Valley,2117,City of Parramatta,Sydney,Bus Station,Italian Restaurant,Campground,Café,,,,,,
193,193,Dural,2158,"Hornsby Shire, Hills District",Sydney,Italian Restaurant,Gym / Fitness Center,Garden,Grocery Store,,,,,,
194,194,Eagle Vale,2558,City of Campbelltown ,Sydney,Business Service,Pool,,,,,,,,
195,195,Earlwood,2206,Canterbury-Bankstown Council,Sydney,Playground,Fast Food Restaurant,Café,Pizza Place,,,,,,
196,196,East Hills,2213,Canterbury-Bankstown Council,Sydney,Pub,,,,,,,,,
197,197,East Killara,2071,Ku-ring-gai Council,Sydney,Yoga Studio,Park,Shopping Mall,,,,,,,
198,198,East Kurrajong,2758,City of Hawkesbury,Sydney,,,,,,,,,,
199,199,East Lindfield,2070,Ku-ring-gai Council,Sydney,Candy Store,Playground,,,,,,,,
